Vehicle_ID,Lane,Frame,Timestamp,Lane1_Total,Lane2_Total,Lane3_Total
466,2,1188,39.6,77,59,59
546,1,1191,39.7,78,59,59
545,1,1191,39.7,79,59,59
547,1,1194,39.8,80,59,59
547,2,1197,39.9,80,60,59
409,3,1201,40.03,80,60,60
466,3,1207,40.23,80,60,61
547,3,1209,40.3,80,60,62
557,3,1219,40.63,80,60,63
558,1,1220,40.67,81,60,63
562,1,1228,40.93,82,60,63
398,1,1228,40.93,83,60,63
452,1,1238,41.27,84,60,63
562,2,1257,41.9,84,61,63
452,2,1271,42.37,84,62,63
562,3,1275,42.5,84,62,64
452,3,1290,43.0,84,62,65
505,1,1302,43.4,85,62,65
591,1,1328,44.27,86,62,65
505,2,1332,44.4,86,63,65
560,1,1333,44.43,87,63,65
597,1,1337,44.57,88,63,65
598,1,1343,44.77,89,63,65
505,3,1351,45.03,89,63,66
584,1,1359,45.3,90,63,66
597,2,1360,45.33,90,64,66
598,2,1366,45.53,90,65,66
611,1,1369,45.63,91,65,66
609,2,1369,45.63,91,66,66
609,3,1375,45.83,91,66,67
555,1,1388,46.27,92,66,67
598,3,1390,46.33,92,66,68
634,1,1395,46.5,93,66,68
641,1,1405,46.83,94,66,68
634,2,1419,47.3,94,67,68
573,1,1419,47.3,95,67,68
634,3,1440,48.0,95,67,69
678,1,1442,48.07,96,67,69
578,1,1443,48.1,97,67,69
683,1,1446,48.2,98,67,69
678,2,1449,48.3,98,68,69
573,2,1449,48.3,98,69,69
690,1,1460,48.67,99,69,69
678,3,1467,48.9,99,69,70
573,3,1467,48.9,99,69,71
578,2,1476,49.2,99,70,71
709,2,1495,49.83,99,71,71
626,1,1497,49.9,100,71,71
578,3,1503,50.1,100,71,72
595,1,1507,50.23,101,71,72
719,3,1510,50.33,101,71,73
718,1,1510,50.33,102,71,73
723,3,1517,50.57,102,71,74
726,1,1521,50.7,103,71,74
626,2,1528,50.93,103,72,74
726,2,1530,51.0,103,73,74
733,1,1532,51.07,104,73,74
726,3,1545,51.5,104,73,75
626,3,1546,51.53,104,73,76
595,2,1559,51.97,104,74,76
697,1,1562,52.07,105,74,76
748,1,1564,52.13,106,74,76
628,1,1569,52.3,107,74,76
760,1,1578,52.6,108,74,76
748,2,1581,52.7,108,75,76
697,2,1592,53.07,108,76,76
595,3,1593,53.1,108,76,77
748,3,1597,53.23,108,76,78
773,1,1599,53.3,109,76,78
295,3,1600,53.33,109,76,79
772,1,1603,53.43,110,76,79
777,2,1605,53.5,110,77,79
779,1,1608,53.6,111,77,79
777,3,1608,53.6,111,77,80
785,1,1619,53.97,112,77,80
745,1,1628,54.27,113,77,80
795,1,1636,54.53,114,77,80
801,1,1644,54.8,115,77,80
802,1,1645,54.83,116,77,80
745,2,1653,55.1,116,78,80
801,2,1654,55.13,116,79,80
808,1,1655,55.17,117,79,80
745,3,1669,55.63,117,79,81
802,2,1675,55.83,117,80,81
814,2,1677,55.9,117,81,81
747,1,1680,56.0,118,81,81
801,3,1696,56.53,118,81,82
814,3,1699,56.63,118,81,83
811,1,1699,56.63,119,81,83
794,1,1704,56.8,120,81,83
747,2,1704,56.8,120,82,83
829,1,1706,56.87,121,82,83
831,3,1711,57.03,121,82,84
747,3,1718,57.27,121,82,85
767,1,1729,57.63,122,82,85
843,3,1737,57.9,122,82,86
851,2,1749,58.3,122,83,86
850,1,1749,58.3,123,83,86
767,2,1751,58.37,123,84,86
794,2,1752,58.4,123,85,86
861,2,1764,58.8,123,86,86
767,3,1765,58.83,123,86,87
864,2,1768,58.93,123,87,87
794,3,1771,59.03,123,87,88
782,1,1787,59.57,124,87,88
838,1,1800,60.0,125,87,88
882,1,1807,60.23,126,87,88
861,3,1808,60.27,126,87,89
782,2,1810,60.33,126,88,89
782,3,1824,60.8,126,88,90
817,1,1825,60.83,127,88,90
899,3,1828,60.93,127,88,91
882,2,1831,61.03,127,89,91
882,3,1847,61.57,127,89,92
912,3,1848,61.6,127,89,93
916,3,1854,61.8,127,89,94
918,3,1856,61.87,127,89,95
922,3,1862,62.07,127,89,96
876,1,1885,62.83,128,89,96
923,1,1888,62.93,129,89,96
938,3,1902,63.4,129,89,97
876,2,1904,63.47,129,90,97
941,1,1906,63.53,130,90,97
943,3,1910,63.67,130,90,98
923,2,1911,63.7,130,91,98
944,2,1913,63.77,130,92,98
876,3,1915,63.83,130,92,99
951,3,1924,64.13,130,92,100
955,1,1932,64.4,131,92,100
960,3,1938,64.6,131,92,101
964,1,1945,64.83,132,92,101
865,1,1961,65.37,133,92,101
919,1,1974,65.8,134,92,101
964,2,1983,66.1,134,93,101
865,2,1987,66.23,134,94,101
991,3,1995,66.5,134,94,102
919,2,1997,66.57,134,95,102
865,3,2002,66.73,134,95,103
919,3,2011,67.03,134,95,104
974,1,2024,67.47,135,95,104
1014,2,2045,68.17,135,96,104
909,1,2053,68.43,136,96,104
1023,3,2056,68.53,136,96,105
964,3,2062,68.73,136,96,106
1028,1,2065,68.83,137,96,106
928,1,2070,69.0,138,96,106
1033,2,2073,69.1,138,97,106
1040,1,2078,69.27,139,97,106
999,1,2079,69.3,140,97,106
1044,2,2081,69.37,140,98,106
1046,1,2082,69.4,141,98,106
1048,1,2084,69.47,142,98,106
1046,2,2090,69.67,142,99,106
1044,3,2092,69.73,142,99,107
1065,2,2100,70.0,142,100,107
1065,3,2102,70.07,142,100,108
1070,3,2108,70.27,142,100,109
